Timestamp,Latitude,Longitude
1655295441000,-22.82099,-47.06643
1655295442000,-22.82099,-47.06643
1655295443000,-22.82099,-47.06643
1655295444000,-22.82099,-47.06643
1655295445000,-22.82099,-47.06643
1655295446000,-22.82099,-47.06643
1655295447000,-22.82099,-47.06643
1655295448000,-22.82099,-47.06643
1655295449000,-22.82099,-47.06643
1655295450000,-22.82099,-47.06643
1655295451000,-22.82099,-47.06643
1655295452000,-22.82099,-47.06643
1655295453000,-22.82099,-47.06643
1655295454000,-22.82099,-47.06643
1655295455000,-22.82099,-47.06643
1655295456000,-22.82099,-47.06643
1655295457000,-22.82099,-47.06643
1655295458000,-22.82099,-47.06643
1655295459000,-22.82099,-47.06643
1655295460000,-22.82099,-47.06643
1655295461000,-22.82099,-47.06643
1655295462000,-22.82099,-47.06643
1655295463000,-22.82099,-47.06643
1655295464000,-22.82099,-47.06643
1655295465000,-22.82099,-47.06643
1655295466000,-22.82099,-47.06643
1655295467000,-22.82099,-47.06643
1655295468000,-22.82099,-47.06643
1655295469000,-22.82099,-47.06643
1655295470000,-22.82099,-47.06643
1655295471000,-22.82099,-47.06643
1655295472000,-22.82099,-47.06643
1655295473000,-22.82099,-47.06643
1655295474000,-22.82099,-47.06643
1655295475000,-22.82099,-47.06643
1655295476000,-22.82099,-47.06643
1655295477000,-22.82099,-47.06643
1655295478000,-22.82099,-47.06643
1655295479000,-22.82099,-47.06643
1655295480000,-22.82099,-47.06643
1655295481000,-22.82099,-47.06643
1655295482000,-22.82099,-47.06643
1655295483000,-22.82099,-47.06643
1655295484000,-22.82099,-47.06643
1655295485000,-22.82099,-47.06643
1655295486000,-22.82099,-47.06643
1655295487000,-22.82099,-47.06643
1655295488000,-22.82099,-47.06643
1655295489000,-22.82099,-47.06643
1655295490000,-22.82099,-47.06643
1655295491000,-22.82099,-47.06643
1655295492000,-22.82099,-47.06643
1655295493000,-22.82099,-47.06643
1655295494000,-22.82099,-47.06643
1655295495000,-22.82099,-47.06643
1655295496000,-22.82099,-47.06643
1655295497000,-22.82099,-47.06643
1655295498000,-22.82099,-47.06643
1655295499000,-22.82099,-47.06643
1655295500000,-22.82099,-47.06643
1655295501000,-22.82099,-47.06643
1655295502000,-22.82099,-47.06643
1655295503000,-22.82099,-47.06643
1655295504000,-22.82099,-47.06643
1655295505000,-22.82099,-47.06643
1655295506000,-22.82099,-47.06643
1655295507000,-22.82099,-47.06643
1655295508000,-22.82099,-47.06643
1655295509000,-22.82099,-47.06643
1655295510000,-22.82099,-47.06643
1655295511000,-22.82099,-47.06643
1655295512000,-22.82099,-47.06643
1655295513000,-22.82099,-47.06643
1655295514000,-22.82099,-47.06643
1655295515000,-22.82099,-47.06643
1655295516000,-22.82099,-47.06643
1655295517000,-22.82099,-47.06643
1655295518000,-22.82099,-47.06643
1655295519000,-22.82099,-47.06643
1655295520000,-22.82099,-47.06643
1655295521000,-22.82099,-47.06643
1655295522000,-22.82099,-47.06643
1655295523000,-22.82099,-47.06643
1655295524000,-22.82099,-47.06643
1655295525000,-22.82099,-47.06643
1655295526000,-22.82099,-47.06643
1655295527000,-22.82099,-47.06643
1655295528000,-22.82099,-47.06643
1655295529000,-22.82099,-47.06643
1655295530000,-22.82099,-47.06643
1655295531000,-22.82099,-47.06643
1655295532000,-22.82099,-47.06643
1655295533000,-22.82099,-47.06643
1655295534000,-22.82099,-47.06643
1655295535000,-22.82099,-47.06643
1655295536000,-22.82099,-47.06643
1655295537000,-22.82099,-47.06643
1655295538000,-22.82099,-47.06643
1655295539000,-22.82099,-47.06643
1655295540000,-22.82099,-47.06643
1655295541000,-22.82099,-47.06643
1655295542000,-22.82099,-47.06643
1655295543000,-22.82099,-47.06643
1655295544000,-22.82099,-47.06643
1655295545000,-22.82099,-47.06643
1655295546000,-22.82099,-47.06643
1655295547000,-22.82099,-47.06643
1655295548000,-22.82099,-47.06643
1655295549000,-22.82099,-47.06643
1655295550000,-22.82099,-47.06643
1655295551000,-22.82099,-47.06643
1655295552000,-22.82099,-47.06643
1655295553000,-22.82099,-47.06643
1655295554000,-22.82099,-47.06643
1655295555000,-22.82099,-47.06643
1655295556000,-22.82099,-47.06643
1655295557000,-22.82099,-47.06643
1655295558000,-22.82099,-47.06643
1655295559000,-22.82099,-47.06643
1655295560000,-22.82099,-47.06643
1655295561000,-22.82099,-47.06643
1655295562000,-22.82099,-47.06643
1655295563000,-22.82099,-47.06643
1655295564000,-22.82099,-47.06643
1655295565000,-22.82099,-47.06643
1655295566000,-22.82099,-47.06643
1655295567000,-22.82099,-47.06643
1655295568000,-22.82099,-47.06643
1655295569000,-22.82099,-47.06643
1655295570000,-22.82099,-47.06643
1655295571000,-22.82099,-47.06643
1655295572000,-22.82099,-47.06643
1655295573000,-22.82099,-47.06643
1655295574000,-22.82099,-47.06643
1655295575000,-22.82099,-47.06643
1655295576000,-22.82099,-47.06643
1655295577000,-22.82099,-47.06643
1655295578000,-22.82099,-47.06643
1655295579000,-22.82099,-47.06643
1655295580000,-22.82099,-47.06643
1655295581000,-22.82099,-47.06643
1655295582000,-22.82099,-47.06643
1655295583000,-22.82099,-47.06643
1655295584000,-22.82099,-47.06643
1655295585000,-22.82099,-47.06643
1655295586000,-22.82099,-47.06643
1655295587000,-22.82099,-47.06643
1655295588000,-22.82099,-47.06643
1655295589000,-22.82099,-47.06643
1655295590000,-22.82099,-47.06643
1655295591000,-22.82099,-47.06643
1655295592000,-22.82099,-47.06643
1655295593000,-22.82099,-47.06643
1655295594000,-22.82099,-47.06643
1655295595000,-22.82099,-47.06643
1655295596000,-22.82099,-47.06643
1655295597000,-22.82099,-47.06643
1655295598000,-22.82099,-47.06643
1655295599000,-22.82099,-47.06643
1655295600000,-22.82099,-47.06643
1655295601000,-22.82099,-47.06643
1655295602000,-22.82099,-47.06643
1655295603000,-22.82099,-47.06643
1655295604000,-22.82099,-47.06643
1655295605000,-22.82099,-47.06643
1655295606000,-22.82099,-47.06643
1655295607000,-22.82099,-47.06643
1655295608000,-22.82099,-47.06643
1655295609000,-22.82099,-47.06643
1655295610000,-22.82099,-47.06643
1655295611000,-22.82099,-47.06643
1655295612000,-22.82099,-47.06643
1655295613000,-22.82099,-47.06643
1655295614000,-22.82099,-47.06643
1655295615000,-22.82099,-47.06643
1655295616000,-22.82099,-47.06643
1655295617000,-22.82099,-47.06643
1655295618000,-22.82099,-47.06643
1655295619000,-22.82099,-47.06643
1655295620000,-22.82099,-47.06643
1655295621000,-22.82099,-47.06643
1655295622000,-22.82099,-47.06643
1655295623000,-22.82099,-47.06643
1655295624000,-22.82099,-47.06643
1655295625000,-22.82099,-47.06643
1655295626000,-22.82099,-47.06643
1655295627000,-22.82099,-47.06643
1655295628000,-22.82099,-47.06643
1655295629000,-22.82099,-47.06643
1655295630000,-22.82099,-47.06643
1655295631000,-22.82099,-47.06643
1655295632000,-22.82099,-47.06643
1655295633000,-22.82099,-47.06643
1655295634000,-22.82099,-47.06643
1655295635000,-22.82099,-47.06643
1655295636000,-22.82099,-47.06643
1655295637000,-22.82099,-47.06643
1655295638000,-22.82099,-47.06643
1655295639000,-22.82099,-47.06643
1655295640000,-22.82099,-47.06643
1655295641000,-22.82099,-47.06643
1655295642000,-22.82099,-47.06643
1655295643000,-22.82099,-47.06643
1655295644000,-22.82099,-47.06643
1655295645000,-22.82099,-47.06643
1655295646000,-22.82099,-47.06643
1655295647000,-22.82099,-47.06643
1655295648000,-22.82099,-47.06643
1655295649000,-22.82099,-47.06643
1655295650000,-22.82099,-47.06643
1655295651000,-22.82099,-47.06643
1655295652000,-22.82099,-47.06643
1655295653000,-22.82099,-47.06643
1655295654000,-22.82099,-47.06643
1655295655001,-22.82099,-47.06643
1655295656001,-22.82099,-47.06643
1655295657001,-22.82099,-47.06643
1655295658001,-22.82099,-47.06643
1655295659001,-22.82099,-47.06643
1655295660000,-22.82099,-47.06643
1655295661001,-22.82099,-47.06643
1655295662000,-22.82099,-47.06643
1655295663001,-22.82099,-47.06643
1655295664001,-22.82099,-47.06643
1655295665001,-22.82099,-47.06643
1655295666001,-22.82099,-47.06643
1655295667001,-22.82099,-47.06643
1655295668001,-22.82099,-47.06643
1655295669001,-22.82099,-47.06643
1655295670001,-22.82099,-47.06643
1655295671001,-22.82099,-47.06643
1655295672001,-22.82099,-47.06643
1655295673001,-22.820986,-47.066418
1655295674001,-22.820986,-47.066418
1655295675001,-22.82099,-47.066425
1655295676000,-22.820988,-47.066414
1655295677001,-22.820986,-47.066402
1655295678001,-22.820986,-47.06639
1655295679001,-22.820986,-47.066395
1655295680001,-22.820988,-47.066372
1655295681001,-22.820988,-47.066372
1655295682001,-22.820988,-47.066372
1655295683001,-22.820988,-47.066372
1655295684001,-22.820988,-47.066372
1655295685001,-22.820988,-47.066376
1655295686001,-22.820988,-47.066376
1655295687001,-22.82099,-47.066425
1655295688001,-22.82099,-47.06643
1655295689001,-22.82099,-47.06643
1655295690001,-22.82099,-47.06643
1655295691001,-22.82099,-47.06643
1655295692001,-22.82099,-47.06643
1655295693001,-22.82099,-47.06643
1655295694001,-22.82099,-47.06643
1655295695001,-22.82099,-47.06643
1655295696001,-22.82099,-47.06643
1655295697001,-22.82099,-47.06643
1655295698001,-22.82099,-47.06643
1655295699001,-22.82099,-47.06643
1655295700001,-22.82099,-47.06643
1655295701001,-22.82099,-47.06643
1655295702001,-22.82099,-47.06643
1655295703001,-22.82099,-47.06643
1655295704001,-22.82099,-47.06643
1655295705001,-22.82099,-47.06643
1655295706001,-22.82099,-47.06643
1655295707001,-22.82099,-47.06643
1655295708001,-22.82099,-47.06643
1655295709001,-22.82099,-47.06643
1655295710001,-22.82099,-47.06643
1655295711001,-22.82099,-47.06643
1655295712001,-22.82099,-47.06643
1655295713001,-22.82099,-47.06643
1655295714001,-22.82099,-47.06643
1655295715001,-22.82099,-47.06643
1655295716001,-22.82099,-47.06643
1655295717001,-22.82099,-47.06643
1655295718001,-22.82099,-47.06643
1655295719001,-22.82099,-47.06643
1655295720000,-22.82099,-47.06643
1655295721001,-22.82099,-47.06643
1655295722000,-22.82099,-47.06643
1655295723001,-22.82099,-47.06643
1655295724001,-22.82099,-47.06643
1655295725001,-22.82099,-47.06643
1655295726001,-22.82099,-47.06643
1655295727001,-22.82099,-47.06643
1655295728001,-22.82099,-47.06643
1655295729001,-22.82099,-47.06643
1655295730001,-22.82099,-47.06643
1655295731001,-22.82099,-47.06643
1655295732001,-22.82099,-47.06643
1655295733001,-22.82099,-47.06643
1655295734001,-22.82099,-47.06643
1655295735001,-22.82099,-47.06643
1655295736000,-22.82099,-47.06643
1655295737001,-22.82099,-47.06643
1655295738001,-22.82099,-47.06643
1655295739001,-22.82099,-47.06643
1655295740001,-22.82099,-47.06643
1655295741001,-22.82099,-47.06643
1655295742001,-22.82099,-47.06643
1655295743001,-22.82099,-47.06643
1655295744001,-22.82099,-47.06643
1655295745001,-22.82099,-47.06643
1655295746001,-22.82099,-47.06643
1655295747001,-22.82099,-47.06643
1655295748001,-22.82099,-47.06643
1655295749001,-22.82099,-47.06643
1655295750001,-22.82099,-47.06643
1655295751001,-22.82099,-47.06643
1655295752001,-22.82099,-47.06643
1655295753001,-22.82099,-47.06643
1655295754001,-22.82099,-47.06643
1655295755001,-22.82099,-47.06643
1655295756001,-22.82099,-47.06643
1655295757001,-22.82099,-47.06643
1655295758001,-22.82099,-47.06643
1655295759001,-22.82099,-47.06643
1655295760001,-22.82099,-47.06643
1655295761001,-22.82099,-47.06643
1655295762001,-22.82099,-47.06643
1655295763001,-22.82099,-47.06643
1655295764001,-22.82099,-47.06643
1655295765001,-22.82099,-47.06643
1655295766001,-22.82099,-47.06643
1655295767001,-22.82099,-47.06643
1655295768001,-22.82099,-47.06643
1655295769001,-22.82099,-47.06643
1655295770001,-22.82099,-47.06643
1655295771001,-22.82099,-47.06643
1655295772001,-22.82099,-47.06643
1655295773001,-22.82099,-47.06643
1655295774001,-22.82099,-47.06643
1655295775001,-22.82099,-47.06643
1655295776001,-22.82099,-47.06643
1655295777001,-22.820988,-47.06642
1655295778001,-22.820986,-47.066414
1655295779001,-22.82099,-47.066425
1655295780000,-22.82099,-47.06643
1655295781001,-22.82099,-47.06643
1655295782000,-22.82099,-47.06643
1655295783001,-22.82099,-47.06643
1655295784001,-22.82099,-47.06643
1655295785001,-22.82099,-47.06643
1655295786001,-22.82099,-47.06643
1655295787001,-22.82099,-47.06643
1655295788001,-22.82099,-47.06643
1655295789001,-22.82099,-47.06643
1655295790001,-22.82099,-47.06643
1655295791001,-22.82099,-47.06643
1655295792001,-22.82099,-47.06643
1655295793001,-22.82099,-47.06643
1655295794001,-22.82099,-47.06643
1655295795001,-22.82099,-47.06643
1655295796000,-22.82099,-47.06643
1655295797001,-22.82099,-47.06643
1655295798001,-22.82099,-47.06643
1655295799001,-22.82099,-47.06643
1655295800001,-22.82099,-47.06643
1655295801001,-22.82099,-47.06643
1655295802001,-22.82099,-47.06643
1655295803001,-22.82099,-47.06643
1655295804001,-22.82099,-47.06643
1655295805001,-22.82099,-47.06643
1655295806001,-22.82099,-47.06643
1655295807001,-22.82099,-47.06643
1655295808001,-22.82099,-47.06643
1655295809001,-22.82099,-47.06643
1655295810001,-22.82099,-47.06643
1655295811001,-22.82099,-47.06643
1655295812001,-22.82099,-47.06643
1655295813001,-22.82099,-47.06643
1655295814001,-22.82099,-47.06643
1655295815001,-22.82099,-47.06643
1655295816001,-22.82099,-47.06643
1655295817001,-22.82099,-47.06643
1655295818001,-22.82099,-47.06643
1655295819001,-22.82099,-47.06643
1655295820001,-22.82099,-47.06643
1655295821001,-22.82099,-47.06643
1655295822001,-22.82099,-47.06643
1655295823001,-22.82099,-47.06643
